ID,FIPS,COUNTY,1BR,2BR,STATE,GROSS_MW_HR,GROSS_MW_MONTH,ONE_BR_PERC_INCOME,TWO_BR_PERC_INCOME
0500000US01001,1001,"Autauga County, Alabama",802,756,ALABAMA,7.25,1160,69,65
0500000US01003,1003,"Baldwin County, Alabama",705,803,ALABAMA,7.25,1160,61,69
0500000US01007,1007,"Bibb County, Alabama",412,685,ALABAMA,7.25,1160,36,59
0500000US01009,1009,"Blount County, Alabama",418,576,ALABAMA,7.25,1160,36,50
0500000US01013,1013,"Butler County, Alabama",336,520,ALABAMA,7.25,1160,29,45
0500000US01015,1015,"Calhoun County, Alabama",458,606,ALABAMA,7.25,1160,39,52
0500000US01019,1019,"Cherokee County, Alabama",397,579,ALABAMA,7.25,1160,34,50
0500000US01021,1021,"Chilton County, Alabama",503,584,ALABAMA,7.25,1160,43,50
0500000US01023,1023,"Choctaw County, Alabama",305,573,ALABAMA,7.25,1160,26,49
0500000US01025,1025,"Clarke County, Alabama",350,477,ALABAMA,7.25,1160,30,41
0500000US01027,1027,"Clay County, Alabama",325,379,ALABAMA,7.25,1160,28,33
0500000US01029,1029,"Cleburne County, Alabama",281,567,ALABAMA,7.25,1160,24,49
0500000US01033,1033,"Colbert County, Alabama",466,602,ALABAMA,7.25,1160,40,52
0500000US01035,1035,"Conecuh County, Alabama",332,474,ALABAMA,7.25,1160,29,41
0500000US01037,1037,"Coosa County, Alabama",333,487,ALABAMA,7.25,1160,29,42
0500000US01041,1041,"Crenshaw County, Alabama",304,478,ALABAMA,7.25,1160,26,41
0500000US01043,1043,"Cullman County, Alabama",465,575,ALABAMA,7.25,1160,40,50
0500000US01047,1047,"Dallas County, Alabama",445,526,ALABAMA,7.25,1160,38,45
0500000US01051,1051,"Elmore County, Alabama",557,735,ALABAMA,7.25,1160,48,63
0500000US01055,1055,"Etowah County, Alabama",433,591,ALABAMA,7.25,1160,37,51
0500000US01059,1059,"Franklin County, Alabama",407,519,ALABAMA,7.25,1160,35,45
0500000US01061,1061,"Geneva County, Alabama",267,486,ALABAMA,7.25,1160,23,42
0500000US01063,1063,"Greene County, Alabama",234,403,ALABAMA,7.25,1160,20,35
0500000US01065,1065,"Hale County, Alabama",316,407,ALABAMA,7.25,1160,27,35
0500000US01067,1067,"Henry County, Alabama",370,576,ALABAMA,7.25,1160,32,50
0500000US01069,1069,"Houston County, Alabama",451,633,ALABAMA,7.25,1160,39,55
0500000US01071,1071,"Jackson County, Alabama",436,577,ALABAMA,7.25,1160,38,50
0500000US01073,1073,"Jefferson County, Alabama",673,795,ALABAMA,7.25,1160,58,69
0500000US01075,1075,"Lamar County, Alabama",357,314,ALABAMA,7.25,1160,31,27
0500000US01077,1077,"Lauderdale County, Alabama",468,603,ALABAMA,7.25,1160,40,52
0500000US01079,1079,"Lawrence County, Alabama",249,539,ALABAMA,7.25,1160,21,46
0500000US01081,1081,"Lee County, Alabama",577,741,ALABAMA,7.25,1160,50,64
0500000US01083,1083,"Limestone County, Alabama",463,578,ALABAMA,7.25,1160,40,50
0500000US01085,1085,"Lowndes County, Alabama",265,513,ALABAMA,7.25,1160,23,44
0500000US01087,1087,"Macon County, Alabama",342,568,ALABAMA,7.25,1160,29,49
0500000US01089,1089,"Madison County, Alabama",602,725,ALABAMA,7.25,1160,52,63
0500000US01091,1091,"Marengo County, Alabama",286,458,ALABAMA,7.25,1160,25,39
0500000US01093,1093,"Marion County, Alabama",292,460,ALABAMA,7.25,1160,25,40
0500000US01095,1095,"Marshall County, Alabama",413,556,ALABAMA,7.25,1160,36,48
0500000US01097,1097,"Mobile County, Alabama",598,759,ALABAMA,7.25,1160,52,65
0500000US01099,1099,"Monroe County, Alabama",468,506,ALABAMA,7.25,1160,40,44
0500000US01101,1101,"Montgomery County, Alabama",635,786,ALABAMA,7.25,1160,55,68
0500000US01103,1103,"Morgan County, Alabama",441,604,ALABAMA,7.25,1160,38,52
0500000US01105,1105,"Perry County, Alabama",553,513,ALABAMA,7.25,1160,48,44
0500000US01107,1107,"Pickens County, Alabama",325,457,ALABAMA,7.25,1160,28,39
0500000US01111,1111,"Randolph County, Alabama",417,591,ALABAMA,7.25,1160,36,51
0500000US01113,1113,"Russell County, Alabama",499,706,ALABAMA,7.25,1160,43,61
0500000US01115,1115,"St. Clair County, Alabama",565,692,ALABAMA,7.25,1160,49,60
0500000US01117,1117,"Shelby County, Alabama",831,898,ALABAMA,7.25,1160,72,77
0500000US01119,1119,"Sumter County, Alabama",246,618,ALABAMA,7.25,1160,21,53
0500000US01121,1121,"Talladega County, Alabama",318,575,ALABAMA,7.25,1160,27,50
0500000US01123,1123,"Tallapoosa County, Alabama",466,537,ALABAMA,7.25,1160,40,46
0500000US01125,1125,"Tuscaloosa County, Alabama",620,775,ALABAMA,7.25,1160,53,67
0500000US01127,1127,"Walker County, Alabama",384,570,ALABAMA,7.25,1160,33,49
0500000US01129,1129,"Washington County, Alabama",260,546,ALABAMA,7.25,1160,22,47
0500000US01133,1133,"Winston County, Alabama",288,468,ALABAMA,7.25,1160,25,40
0500000US02013,2013,"Aleutians East Borough, Alaska",638,952,ALASKA,9.75,1560,41,61
0500000US02020,2020,"Anchorage Municipality, Alaska",903,1190,ALASKA,9.75,1560,58,76
0500000US02050,2050,"Bethel Census Area, Alaska",1236,1317,ALASKA,9.75,1560,79,84
0500000US02060,2060,"Bristol Bay Borough, Alaska",858,1074,ALASKA,9.75,1560,55,69
0500000US02068,2068,"Denali Borough, Alaska",433,1229,ALASKA,9.75,1560,28,79
0500000US02090,2090,"Fairbanks North Star Borough, Alaska",835,1214,ALASKA,9.75,1560,54,78
0500000US02105,2105,"Hoonah-Angoon Census Area, Alaska",608,716,ALASKA,9.75,1560,39,46
0500000US02110,2110,"Juneau City and Borough, Alaska",929,1256,ALASKA,9.75,1560,60,81
